,sim1k,kitti,foggycityscape
0,True,True,True
1,True,True,True
2,True,True,True
3,True,True,True
4,True,True,True
5,True,True,True
6,True,True,True
7,True,True,True
8,True,True,True
9,True,True,True
10,True,True,True
11,True,True,True
12,True,True,True
13,True,True,True
14,False,False,True
15,True,True,True
16,True,True,True
17,True,True,True
18,True,True,True
19,True,True,True
20,True,True,True
21,True,True,True
22,True,True,True
23,True,True,True
24,True,True,True
25,True,True,True
26,False,False,False
27,True,True,True
28,False,False,False
29,True,True,True
30,True,True,True
31,True,True,True
32,False,False,True
33,True,True,True
34,False,False,True
35,False,False,True
36,False,False,True
37,False,False,False
38,False,False,False
39,False,False,True
40,False,False,True
41,False,False,True
42,True,True,True
43,False,True,False
44,False,True,False
45,False,False,True
46,False,True,False
47,False,True,True
48,False,False,False
49,False,True,False
